flightdate,num_flights,avg_flights_prev_3_days
4/1/24,20101,NULL
4/10/24,18972,20101.0000
4/11/24,20235,19536.5000
4/12/24,20260,19769.3333
4/13/24,17211,19822.3333
4/14/24,19881,19235.3333
4/15/24,20259,19117.3333
4/16/24,18610,19117.0000
4/17/24,18990,19583.3333
4/18/24,20276,19286.3333
4/19/24,20300,19292.0000
4/2/24,18631,19855.3333
4/20/24,17188,19735.6667
4/21/24,19969,18706.3333
4/22/24,20324,18596.0000
4/23/24,18664,19160.3333
4/24/24,19043,19652.3333
4/25/24,20310,19343.6667
4/26/24,20364,19339.0000
4/27/24,17212,19905.6667
4/28/24,20004,19295.3333
4/29/24,20321,19193.3333
4/3/24,18847,19179.0000
4/30/24,18653,19724.0000
4/4/24,20291,19273.6667
4/5/24,20364,19263.6667
4/6/24,17949,19769.3333
4/7/24,19956,19534.6667
4/8/24,20302,19423.0000
4/9/24,18698,19402.3333
FlightDate,1,19652.0000
